turno_id;usuario_id;username;display_name;opened_at;closed_at;estado;monto_inicial;total_ventas;cantidad_ventas;monto_final_declarado;diferencia
2;1;admin;Administrador;"2026-03-06 19:48:32";;abierto;150000.00;0.00;0;;
1;2;caja;Caja;"2026-03-06 19:40:06";;abierto;150000.00;0.00;0;;
